"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","623","Login with correct email and password","LMS service","Thu Jul 23 20:46:03 UTC 2026","passed","Thu Jul 23 20:46:04 UTC 2026","LOGIN","Authentication","",""
"","67","Create course","LMS service","Thu Jul 23 20:46:05 UTC 2026","passed","Thu Jul 23 20:46:05 UTC 2026","Create_entity","Courses","",""
"","363","Get file","LMS service","Thu Jul 23 20:46:13 UTC 2026","passed","Thu Jul 23 20:46:13 UTC 2026","Get_entity","Files","",""
"","299","Create file with empty directory","LMS service","Thu Jul 23 20:46:12 UTC 2026","passed","Thu Jul 23 20:46:13 UTC 2026","Validate_entity","Files","",""
"","59","Get exercises","LMS service","Thu Jul 23 20:46:11 UTC 2026","passed","Thu Jul 23 20:46:12 UTC 2026","Get_entities","Exercises","",""
"","320","Create user","LMS service","Thu Jul 23 20:46:15 UTC 2026","passed","Thu Jul 23 20:46:16 UTC 2026","Create_entity","Users","",""
"","324","Create user","LMS service","Thu Jul 23 20:46:14 UTC 2026","passed","Thu Jul 23 20:46:14 UTC 2026","Create_entity","Users","",""
"","101","Delete exercise","LMS service","Thu Jul 23 20:46:09 UTC 2026","passed","Thu Jul 23 20:46:09 UTC 2026","Delete_entity","Exercises","",""
"","59","Update exercise","LMS service","Thu Jul 23 20:46:07 UTC 2026","passed","Thu Jul 23 20:46:07 UTC 2026","Update_entity","Exercises","",""
"","57","Get exercise","LMS service","Thu Jul 23 20:46:09 UTC 2026","passed","Thu Jul 23 20:46:09 UTC 2026","Get_entity","Exercises","",""
"","11","Get user me","LMS service","Thu Jul 23 20:46:15 UTC 2026","passed","Thu Jul 23 20:46:15 UTC 2026","Get_entity","Users","",""
"","339","Update course","LMS service","Thu Jul 23 20:46:04 UTC 2026","passed","Thu Jul 23 20:46:04 UTC 2026","Update_entity","Courses","",""
"","13","Create file with empty filename","LMS service","Thu Jul 23 20:46:11 UTC 2026","passed","Thu Jul 23 20:46:11 UTC 2026","Validate_entity","Files","",""
"","307","Create file","LMS service","Thu Jul 23 20:46:10 UTC 2026","passed","Thu Jul 23 20:46:11 UTC 2026","Create_entity","Files","",""
"","12","Get file with incorrect file id","LMS service","Thu Jul 23 20:46:14 UTC 2026","passed","Thu Jul 23 20:46:14 UTC 2026","Validate_entity","Files","",""
"","595","Create user","LMS service","Thu Jul 23 20:46:14 UTC 2026","passed","Thu Jul 23 20:46:15 UTC 2026","Create_entity","Users","",""
"","20","Create exercise","LMS service","Thu Jul 23 20:46:07 UTC 2026","passed","Thu Jul 23 20:46:07 UTC 2026","Create_entity","Exercises","",""
"","336","Get courses","LMS service","Thu Jul 23 20:46:05 UTC 2026","passed","Thu Jul 23 20:46:05 UTC 2026","Get_entity","Courses","",""
"","375","Delete file","LMS service","Thu Jul 23 20:46:14 UTC 2026","passed","Thu Jul 23 20:46:14 UTC 2026","Delete_entity","Files","",""
