"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","531","Create user","LMS service","Thu Jul 23 19:34:49 UTC 2026","passed","Thu Jul 23 19:34:50 UTC 2026","Create_entity","Users","",""
"","270","Create file with empty directory","LMS service","Thu Jul 23 19:34:48 UTC 2026","passed","Thu Jul 23 19:34:48 UTC 2026","Validate_entity","Files","",""
"","102","Delete exercise","LMS service","Thu Jul 23 19:34:45 UTC 2026","passed","Thu Jul 23 19:34:45 UTC 2026","Delete_entity","Exercises","",""
"","288","Create user","LMS service","Thu Jul 23 19:34:50 UTC 2026","passed","Thu Jul 23 19:34:51 UTC 2026","Create_entity","Users","",""
"","561","Login with correct email and password","LMS service","Thu Jul 23 19:34:39 UTC 2026","passed","Thu Jul 23 19:34:40 UTC 2026","LOGIN","Authentication","",""
"","57","Get exercise","LMS service","Thu Jul 23 19:34:45 UTC 2026","passed","Thu Jul 23 19:34:45 UTC 2026","Get_entity","Exercises","",""
"","65","Update exercise","LMS service","Thu Jul 23 19:34:43 UTC 2026","passed","Thu Jul 23 19:34:43 UTC 2026","Update_entity","Exercises","",""
"","267","Get user me","LMS service","Thu Jul 23 19:34:50 UTC 2026","passed","Thu Jul 23 19:34:50 UTC 2026","Get_entity","Users","",""
"","308","Get courses","LMS service","Thu Jul 23 19:34:41 UTC 2026","passed","Thu Jul 23 19:34:41 UTC 2026","Get_entity","Courses","",""
"","537","Create user","LMS service","Thu Jul 23 19:34:50 UTC 2026","passed","Thu Jul 23 19:34:50 UTC 2026","Create_entity","Users","",""
"","6","Get file with incorrect file id","LMS service","Thu Jul 23 19:34:49 UTC 2026","broken","Thu Jul 23 19:34:49 UTC 2026","Validate_entity","Files","",""
"","59","Get exercises","LMS service","Thu Jul 23 19:34:46 UTC 2026","passed","Thu Jul 23 19:34:47 UTC 2026","Get_entities","Exercises","",""
"","272","Create file","LMS service","Thu Jul 23 19:34:46 UTC 2026","passed","Thu Jul 23 19:34:46 UTC 2026","Create_entity","Files","",""
"","56","Get file","LMS service","Thu Jul 23 19:34:48 UTC 2026","passed","Thu Jul 23 19:34:48 UTC 2026","Get_entity","Files","",""
"","21","Create exercise","LMS service","Thu Jul 23 19:34:43 UTC 2026","passed","Thu Jul 23 19:34:43 UTC 2026","Create_entity","Exercises","",""
"","267","Create file with empty filename","LMS service","Thu Jul 23 19:34:47 UTC 2026","passed","Thu Jul 23 19:34:47 UTC 2026","Validate_entity","Files","",""
"","79","Create course","LMS service","Thu Jul 23 19:34:41 UTC 2026","passed","Thu Jul 23 19:34:41 UTC 2026","Create_entity","Courses","",""
"","339","Delete file","LMS service","Thu Jul 23 19:34:49 UTC 2026","passed","Thu Jul 23 19:34:49 UTC 2026","Delete_entity","Files","",""
"","317","Update course","LMS service","Thu Jul 23 19:34:40 UTC 2026","passed","Thu Jul 23 19:34:40 UTC 2026","Update_entity","Courses","",""
