"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file with incorrect file id","LMS service","Thu Jul 23 20:38:43 UTC 2026","passed","Thu Jul 23 20:38:43 UTC 2026","Validate_entity","Files","",""
"","533","Create user","LMS service","Thu Jul 23 20:38:43 UTC 2026","passed","Thu Jul 23 20:38:44 UTC 2026","Create_entity","Users","",""
"","302","Get courses","LMS service","Thu Jul 23 20:38:35 UTC 2026","passed","Thu Jul 23 20:38:35 UTC 2026","Get_entity","Courses","",""
"","58","Get exercises","LMS service","Thu Jul 23 20:38:40 UTC 2026","passed","Thu Jul 23 20:38:40 UTC 2026","Get_entities","Exercises","",""
"","61","Update exercise","LMS service","Thu Jul 23 20:38:37 UTC 2026","passed","Thu Jul 23 20:38:37 UTC 2026","Update_entity","Exercises","",""
"","16","Get user me","LMS service","Thu Jul 23 20:38:44 UTC 2026","passed","Thu Jul 23 20:38:44 UTC 2026","Get_entity","Users","",""
"","271","Create file with empty filename","LMS service","Thu Jul 23 20:38:41 UTC 2026","passed","Thu Jul 23 20:38:41 UTC 2026","Validate_entity","Files","",""
"","265","Create file with empty directory","LMS service","Thu Jul 23 20:38:42 UTC 2026","passed","Thu Jul 23 20:38:42 UTC 2026","Validate_entity","Files","",""
"","23","Create exercise","LMS service","Thu Jul 23 20:38:37 UTC 2026","passed","Thu Jul 23 20:38:37 UTC 2026","Create_entity","Exercises","",""
"","287","Create user","LMS service","Thu Jul 23 20:38:43 UTC 2026","passed","Thu Jul 23 20:38:43 UTC 2026","Create_entity","Users","",""
"","345","Delete file","LMS service","Thu Jul 23 20:38:43 UTC 2026","passed","Thu Jul 23 20:38:43 UTC 2026","Delete_entity","Files","",""
"","100","Delete exercise","LMS service","Thu Jul 23 20:38:39 UTC 2026","passed","Thu Jul 23 20:38:39 UTC 2026","Delete_entity","Exercises","",""
"","287","Create user","LMS service","Thu Jul 23 20:38:44 UTC 2026","passed","Thu Jul 23 20:38:44 UTC 2026","Create_entity","Users","",""
"","64","Get exercise","LMS service","Thu Jul 23 20:38:39 UTC 2026","passed","Thu Jul 23 20:38:39 UTC 2026","Get_entity","Exercises","",""
"","72","Create course","LMS service","Thu Jul 23 20:38:35 UTC 2026","passed","Thu Jul 23 20:38:35 UTC 2026","Create_entity","Courses","",""
"","573","Login with correct email and password","LMS service","Thu Jul 23 20:38:33 UTC 2026","passed","Thu Jul 23 20:38:34 UTC 2026","LOGIN","Authentication","",""
"","56","Get file","LMS service","Thu Jul 23 20:38:42 UTC 2026","passed","Thu Jul 23 20:38:42 UTC 2026","Get_entity","Files","",""
"","272","Create file","LMS service","Thu Jul 23 20:38:40 UTC 2026","passed","Thu Jul 23 20:38:40 UTC 2026","Create_entity","Files","",""
"","307","Update course","LMS service","Thu Jul 23 20:38:34 UTC 2026","passed","Thu Jul 23 20:38:34 UTC 2026","Update_entity","Courses","",""
