"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LMS service","0","Files","3","0","Validate_entity","0"
"0","LMS service","0","Users","3","0","Create_entity","0"
"0","LMS service","0","Courses","1","0","Get_entity","0"
"0","LMS service","0","Exercises","1","0","Get_entities","0"
"0","LMS service","0","Exercises","1","0","Update_entity","0"
"0","LMS service","0","Users","1","0","Get_entity","0"
"0","LMS service","0","Exercises","1","0","Create_entity","0"
"0","LMS service","0","Files","1","0","Delete_entity","0"
"0","LMS service","0","Exercises","1","0","Delete_entity","0"
"0","LMS service","0","Exercises","1","0","Get_entity","0"
"0","LMS service","0","Courses","1","0","Create_entity","0"
"0","LMS service","0","Authentication","1","0","LOGIN","0"
"0","LMS service","0","Files","1","0","Get_entity","0"
"0","LMS service","0","Files","1","0","Create_entity","0"
"0","LMS service","0","Courses","1","0","Update_entity","0"
