"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Create file","LMS service","Thu Jul 23 20:49:16 UTC 2026","passed","Thu Jul 23 20:49:16 UTC 2026","Create_entity","Files","",""
"","56","Get file","LMS service","Thu Jul 23 20:49:17 UTC 2026","passed","Thu Jul 23 20:49:18 UTC 2026","Get_entity","Files","",""
"","622","Login with correct email and password","LMS service","Thu Jul 23 20:49:08 UTC 2026","passed","Thu Jul 23 20:49:09 UTC 2026","LOGIN","Authentication","",""
"","302","Get file with incorrect file id","LMS service","Thu Jul 23 20:49:19 UTC 2026","passed","Thu Jul 23 20:49:20 UTC 2026","Validate_entity","Files","",""
"","303","Create exercise","LMS service","Thu Jul 23 20:49:12 UTC 2026","passed","Thu Jul 23 20:49:12 UTC 2026","Create_entity","Exercises","",""
"","633","Create user","LMS service","Thu Jul 23 20:49:20 UTC 2026","passed","Thu Jul 23 20:49:21 UTC 2026","Create_entity","Users","",""
"","297","Create file with empty directory","LMS service","Thu Jul 23 20:49:18 UTC 2026","passed","Thu Jul 23 20:49:19 UTC 2026","Validate_entity","Files","",""
"","348","Update course","LMS service","Thu Jul 23 20:49:09 UTC 2026","passed","Thu Jul 23 20:49:10 UTC 2026","Update_entity","Courses","",""
"","619","Create user","LMS service","Thu Jul 23 20:49:20 UTC 2026","passed","Thu Jul 23 20:49:20 UTC 2026","Create_entity","Users","",""
"","366","Delete file","LMS service","Thu Jul 23 20:49:19 UTC 2026","passed","Thu Jul 23 20:49:19 UTC 2026","Delete_entity","Files","",""
"","57","Get exercises","LMS service","Thu Jul 23 20:49:16 UTC 2026","passed","Thu Jul 23 20:49:16 UTC 2026","Get_entities","Exercises","",""
"","374","Get courses","LMS service","Thu Jul 23 20:49:10 UTC 2026","passed","Thu Jul 23 20:49:10 UTC 2026","Get_entity","Courses","",""
"","73","Create course","LMS service","Thu Jul 23 20:49:11 UTC 2026","passed","Thu Jul 23 20:49:11 UTC 2026","Create_entity","Courses","",""
"","296","Create file with empty filename","LMS service","Thu Jul 23 20:49:17 UTC 2026","passed","Thu Jul 23 20:49:17 UTC 2026","Validate_entity","Files","",""
"","298","Get user me","LMS service","Thu Jul 23 20:49:20 UTC 2026","passed","Thu Jul 23 20:49:20 UTC 2026","Get_entity","Users","",""
"","56","Get exercise","LMS service","Thu Jul 23 20:49:14 UTC 2026","passed","Thu Jul 23 20:49:14 UTC 2026","Get_entity","Exercises","",""
"","381","Delete exercise","LMS service","Thu Jul 23 20:49:15 UTC 2026","passed","Thu Jul 23 20:49:15 UTC 2026","Delete_entity","Exercises","",""
"","629","Create user","LMS service","Thu Jul 23 20:49:20 UTC 2026","passed","Thu Jul 23 20:49:21 UTC 2026","Create_entity","Users","",""
"","63","Update exercise","LMS service","Thu Jul 23 20:49:13 UTC 2026","passed","Thu Jul 23 20:49:13 UTC 2026","Update_entity","Exercises","",""
