"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","LMS service","0","Files","0","0","Delete_entity","0"
"3","LMS service","0","Files","0","0","Validate_entity","0"
"1","LMS service","0","Exercises","0","0","Create_entity","0"
"1","LMS service","0","Files","0","0","Create_entity","0"
"3","LMS service","0","Users","0","0","Create_entity","0"
"1","LMS service","0","Exercises","0","0","Get_entity","0"
"1","LMS service","0","Files","0","0","Get_entity","0"
"1","LMS service","0","Courses","0","0","Create_entity","0"
"1","LMS service","0","Users","0","0","Get_entity","0"
"1","LMS service","0","Courses","0","0","Update_entity","0"
"1","LMS service","0","Exercises","0","0","Update_entity","0"
"1","LMS service","0","Exercises","0","0","Get_entities","0"
"1","LMS service","0","Authentication","0","0","LOGIN","0"
"1","LMS service","0","Exercises","0","0","Delete_entity","0"
"1","LMS service","0","Courses","0","0","Get_entity","0"
