"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Update exercise","LMS service","Thu Jul 23 20:41:53 UTC 2026","passed","Thu Jul 23 20:41:53 UTC 2026","Update_entity","Exercises","",""
"","701","Delete file","LMS service","Thu Jul 23 20:41:59 UTC 2026","passed","Thu Jul 23 20:41:59 UTC 2026","Delete_entity","Files","",""
"","58","Get file","LMS service","Thu Jul 23 20:41:57 UTC 2026","passed","Thu Jul 23 20:41:57 UTC 2026","Get_entity","Files","",""
"","379","Delete exercise","LMS service","Thu Jul 23 20:41:55 UTC 2026","passed","Thu Jul 23 20:41:55 UTC 2026","Delete_entity","Exercises","",""
"","13","Get user me","LMS service","Thu Jul 23 20:42:01 UTC 2026","passed","Thu Jul 23 20:42:01 UTC 2026","Get_entity","Users","",""
"","332","Update course","LMS service","Thu Jul 23 20:41:49 UTC 2026","passed","Thu Jul 23 20:41:50 UTC 2026","Update_entity","Courses","",""
"","16","Create file","LMS service","Thu Jul 23 20:41:56 UTC 2026","passed","Thu Jul 23 20:41:56 UTC 2026","Create_entity","Files","",""
"","601","Create user","LMS service","Thu Jul 23 20:42:00 UTC 2026","passed","Thu Jul 23 20:42:00 UTC 2026","Create_entity","Users","",""
"","323","Create user","LMS service","Thu Jul 23 20:41:59 UTC 2026","passed","Thu Jul 23 20:42:00 UTC 2026","Create_entity","Users","",""
"","320","Login with correct email and password","LMS service","Thu Jul 23 20:41:48 UTC 2026","passed","Thu Jul 23 20:41:49 UTC 2026","LOGIN","Authentication","",""
"","301","Create file with empty directory","LMS service","Thu Jul 23 20:41:58 UTC 2026","passed","Thu Jul 23 20:41:59 UTC 2026","Validate_entity","Files","",""
"","17","Get file with incorrect file id","LMS service","Thu Jul 23 20:41:59 UTC 2026","passed","Thu Jul 23 20:41:59 UTC 2026","Validate_entity","Files","",""
"","71","Create course","LMS service","Thu Jul 23 20:41:51 UTC 2026","passed","Thu Jul 23 20:41:51 UTC 2026","Create_entity","Courses","",""
"","57","Get exercise","LMS service","Thu Jul 23 20:41:54 UTC 2026","passed","Thu Jul 23 20:41:54 UTC 2026","Get_entity","Exercises","",""
"","306","Create exercise","LMS service","Thu Jul 23 20:41:52 UTC 2026","passed","Thu Jul 23 20:41:52 UTC 2026","Create_entity","Exercises","",""
"","59","Get exercises","LMS service","Thu Jul 23 20:41:56 UTC 2026","passed","Thu Jul 23 20:41:56 UTC 2026","Get_entities","Exercises","",""
"","301","Create file with empty filename","LMS service","Thu Jul 23 20:41:57 UTC 2026","passed","Thu Jul 23 20:41:57 UTC 2026","Validate_entity","Files","",""
"","376","Get courses","LMS service","Thu Jul 23 20:41:50 UTC 2026","passed","Thu Jul 23 20:41:50 UTC 2026","Get_entity","Courses","",""
"","324","Create user","LMS service","Thu Jul 23 20:42:01 UTC 2026","passed","Thu Jul 23 20:42:01 UTC 2026","Create_entity","Users","",""
