"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get exercise","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Get_entity","Exercises","",""
"","0","Get file","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Get_entity","Files","",""
"","0","Create course","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Create_entity","Courses","",""
"","0","Create exercise","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Create_entity","Exercises","",""
"","3","Create user","LMS service","Thu Jul 23 19:20:11 UTC 2026","broken","Thu Jul 23 19:20:11 UTC 2026","Create_entity","Users","",""
"","0","Create file with empty directory","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Validate_entity","Files","",""
"","0","Get exercises","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Get_entities","Exercises","",""
"","4","Create user","LMS service","Thu Jul 23 19:20:11 UTC 2026","broken","Thu Jul 23 19:20:11 UTC 2026","Create_entity","Users","",""
"","0","Create file","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Create_entity","Files","",""
"","0","Update exercise","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Update_entity","Exercises","",""
"","0","Delete file","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Delete_entity","Files","",""
"","0","Delete exercise","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Delete_entity","Exercises","",""
"","4","Create user","LMS service","Thu Jul 23 19:20:11 UTC 2026","broken","Thu Jul 23 19:20:11 UTC 2026","Create_entity","Users","",""
"","0","Get file with incorrect file id","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Validate_entity","Files","",""
"","0","Login with correct email and password","LMS service","Thu Jul 23 19:20:09 UTC 2026","broken","Thu Jul 23 19:20:09 UTC 2026","LOGIN","Authentication","",""
"","0","Update course","LMS service","Thu Jul 23 19:20:09 UTC 2026","broken","Thu Jul 23 19:20:09 UTC 2026","Update_entity","Courses","",""
"","0","Create file with empty filename","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Validate_entity","Files","",""
"","0","Get courses","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Get_entity","Courses","",""
"","0","Get user me","LMS service","Thu Jul 23 19:20:10 UTC 2026","broken","Thu Jul 23 19:20:10 UTC 2026","Get_entity","Users","",""
